LongF,LatF,LongG,LatG,preposition,locatumdesgroup,relatumdescgroup,Euclid Distance,DirectionModified
533404.4553,181728.3124,533404.273,181753.1879,on,buildings,roads tracks and paths,24.86654735,1.085397463
532189.3639,182267.5853,532167.344,182255.6355,along,roads tracks and paths,roads tracks and paths,24.99102447,243.0073416
530014.014,180696.5358,530016.5244,180671.657,behind,buildings,buildings,24.99537766,175.7032657
530014.014,180696.5358,530016.5244,180671.657,adjacent to,buildings,buildings,24.99537766,175.7032657
532091.7804,182095.2771,532075.2709,182114.1171,on,buildings,roads tracks and paths,25.01308745,320.264722
532458.7953,180876.3639,532464.0902,180901.0627,close to,buildings,roads tracks and paths,25.24661993,13.59298061
531194.0961,181000.7687,531174.4877,180984.7096,beside,roads tracks and paths,buildings,25.29425042,232.1614343
533546.8659,181391.6773,533542.873,181417.0575,on,buildings,general surface,25.68069284,352.5652299
530332.107,180906.6771,530309.7712,180919.6913,in,buildings,buildings,25.79155249,301.6935918
533471.8002,181264.2734,533463.006,181239.9192,at,buildings,roads tracks and paths,25.87280691,201.3610836
530549.7465,180511.4336,530523.9012,180508.7002,on,structure,roads tracks and paths,25.91237947,265.4340135
530549.7465,180511.4336,530523.9012,180508.7002,on,structure,roads tracks and paths,25.91237947,265.4340135
530472.1601,180843.0911,530491.8654,180860.261,on,buildings,roads tracks and paths,26.08539977,50.4048024
532458.03,181456.875,532469.5941,181480.3285,near,inland water,buildings,26.12488328,27.74043369
530261.4129,181005.9335,530261.6284,181032.1229,on,buildings,roads tracks and paths,26.18023357,1.939380612
530615.6691,180935.3435,530596.0411,180952.9517,beside,buildings,buildings,26.32116415,313.3683408
530376.3468,180734.887,530352.7623,180722.8858,near,buildings,roads tracks and paths,26.39663952,244.5018352
530052.1127,180441.3811,530032.188,180459.0287,behind,structure,inland water,26.56919541,312.9950806
530553.5593,180698.6626,530543.8805,180723.5801,along,roads tracks and paths,buildings,26.7129155,340.2427606
530346.65,180890.475,530322.8606,180877.5803,in,buildings,roads tracks and paths,26.99197852,243.008558
532375.3653,181468.2171,532374.1175,181441.0295,on,buildings,roads tracks and paths,27.20379835,184.1211046
530187.5893,180918.7944,530214.9197,180920.5761,on,general surface,roads tracks and paths,27.30706198,87.73738014
530187.5893,180918.7944,530174.436,180942.7782,on,buildings,roads tracks and paths,27.32773454,332.7258113
530010.2146,180442.5553,530032.188,180459.0287,across,general surface,inland water,27.40507646,54.60462003
530032.188,180459.0287,530010.2146,180442.5553,in,inland water,general surface,27.40507646,234.6048725
530032.188,180459.0287,530010.2146,180442.5553,in,inland water,general surface,27.40507646,234.6048725
530032.188,180459.0287,530010.2146,180442.5553,at,inland water,general surface,27.40507646,234.6048725
530032.188,180459.0287,530010.2146,180442.5553,in,inland water,general surface,27.40507646,234.6048725
530032.188,180459.0287,530010.2146,180442.5553,in,inland water,general surface,27.40507646,234.6048725
530032.188,180459.0287,530010.2146,180442.5553,in,inland water,general surface,27.40507646,234.6048725
530032.188,180459.0287,530010.2146,180442.5553,in,inland water,general surface,27.40507646,234.6048725
530032.188,180459.0287,530010.2146,180442.5553,in,inland water,general surface,27.40507646,234.6048725
530032.188,180459.0287,530010.2146,180442.5553,in,inland water,general surface,27.40507646,234.6048725
530032.188,180459.0287,530010.2146,180442.5553,in,inland water,general surface,27.40507646,234.6048725
530032.188,180459.0287,530010.2146,180442.5553,in,inland water,general surface,27.40507646,234.6048725
530300.0518,180509.8831,530326.11,180500.9647,in,buildings,roads tracks and paths,27.46841127,110.3616149
530097.1815,180122.8229,530115.2521,180143.7809,on,buildings,roads tracks and paths,27.63033345,42.23612185
530656.0251,181126.957,530683.8393,181121.3986,along,buildings,roads tracks and paths,28.2829786,102.7740968
530719.4929,180939.872,530694.7945,180925.9386,beyond,buildings,roads tracks and paths,28.28917438,242.0437733
531816.3051,180885.4026,531838.9664,180902.596,on,buildings,roads tracks and paths,28.38533092,54.2997627
530327.9645,180782.5379,530346.6548,180761.0787,on,buildings,roads tracks and paths,28.41609967,140.4124526
530363.9725,180009.151,530338.3871,179996.2518,on,structure,roads tracks and paths,28.58079519,244.7147524
530363.9725,180009.151,530338.3871,179996.2518,on,structure,roads tracks and paths,28.58079519,244.7147524
530363.9725,180009.151,530338.3871,179996.2518,on,structure,roads tracks and paths,28.58079519,244.7147524
530503.5863,181090.0832,530511.761,181117.7236,in,land,roads tracks and paths,28.80671561,17.94690419
530121.5886,180489.314,530094.0967,180479.6244,close to,buildings,buildings,29.0697001,252.0500461
530082.8868,180316.3822,530107.3513,180300.4032,in,buildings,roads tracks and paths,29.15801677,124.617032
530437.1324,180801.6472,530423.3897,180775.7994,on,buildings,roads tracks and paths,29.24550192,209.4678275
533538.6534,181388.0365,533542.873,181417.0575,on,buildings,general surface,29.31224971,9.779353625
530631.1818,180742.9711,530658.2791,180755.2213,in,buildings,roads tracks and paths,29.6600865,67.14743106
532272.8017,181980.4868,532243.6112,181973.6934,around,buildings,roads tracks and paths,29.88526186,258.3910121
530103.7848,180540.9054,530119.3469,180514.8828,along,buildings,roads tracks and paths,30.28910224,150.5852726
533264.2841,180691.1961,533234.8518,180681.6037,near,buildings,buildings,30.86951415,253.4542602
530134.7945,180542.3155,530103.7848,180540.9054,outside,land,buildings,30.94936313,268.8605913
530036.3883,181049.2956,530010.9264,181031.1579,close to,roads tracks and paths,roads tracks and paths,31.1933122,236.0026667
532469.5941,181480.3285,532477.4473,181449.99,on,buildings,roads tracks and paths,31.32268327,166.9839382
532219.6097,181576.064,532211.7881,181606.5138,around,roads tracks and paths,buildings,31.42296386,347.0850025
530848.4645,181212.1871,530873.7861,181193.4243,on,buildings,roads tracks and paths,31.45176935,128.0119483
530221.7652,180643.3726,530250.5083,180657.1085,by,buildings,roads tracks and paths,31.77439943,65.92518563
530221.7652,180643.3726,530250.5083,180657.1085,on,buildings,roads tracks and paths,31.77439943,65.92518563
530304.5032,180825.7826,530295.6879,180795.1686,off,roads tracks and paths,roads tracks and paths,31.83800041,197.531991
530355.5405,179969.0968,530338.3871,179996.2518,at,roads tracks and paths,roads tracks and paths,32.08451328,329.1901041
530496.0578,180803.4262,530464.2233,180798.339,on,buildings,roads tracks and paths,32.1437412,262.39222
530738.8311,181189.429,530711.9849,181207.3899,on,buildings,roads tracks and paths,32.23099388,305.2569136
530770.3167,180842.2588,530751.7405,180815.6968,in,buildings,roads tracks and paths,32.37081783,216.4411163
530719.2502,180817.6288,530751.7405,180815.6968,in,inland water,roads tracks and paths,32.45204734,94.87557554
533251.9065,181172.6847,533284.3191,181176.2398,next to,buildings,buildings,32.50967376,85.24453463
532511.3586,180749.8789,532541.223,180735.8552,on,buildings,roads tracks and paths,32.910754,116.6493649
530060.1547,181056.6269,530064.1683,181089.6153,towards,roads tracks and paths,roads tracks and paths,33.21737944,8.403091096
533545.2341,181606.4162,533527.3712,181634.4824,on,buildings,roads tracks and paths,33.2330812,329.0299737
530561.1933,180281.6222,530570.5216,180249.6831,alongside,roads tracks and paths,rail,33.25470478,165.1898593
530561.1933,180281.6222,530570.5216,180249.6831,alongside,roads tracks and paths,rail,33.25470478,165.1898593
530561.1933,180281.6222,530570.5216,180249.6831,beside,roads tracks and paths,rail,33.25470478,165.1898593
530561.1933,180281.6222,530570.5216,180249.6831,next to,roads tracks and paths,rail,33.25470478,165.1898593
530561.1933,180281.6222,530570.5216,180249.6831,alongside,roads tracks and paths,rail,33.25470478,165.1898593
530561.1933,180281.6222,530570.5216,180249.6831,beside,roads tracks and paths,rail,33.25470478,165.1898593
530103.7848,180540.9054,530132.659,180558.4507,in,buildings,roads tracks and paths,33.70809596,60.18033944
530280.3299,180641.1517,530250.5083,180657.1085,on,buildings,roads tracks and paths,33.74262132,299.616592
530549.8047,180664.9411,530580.3572,180680.1002,in,buildings,roads tracks and paths,34.01880019,65.08277367
533468.1062,181188.2156,533439.535,181169.318,on,roads tracks and paths,roads tracks and paths,34.1777194,238.0232772
530357.6666,180266.5821,530347.4761,180232.5959,in,structure,general surface,35.45886841,198.1609322
530339.3121,180198.028,530347.4761,180232.5959,in,structure,land,35.49995208,14.75667213
530339.3121,180198.028,530347.4761,180232.5959,in,structure,general surface,35.49995208,14.75667213
530762.7808,180781.7852,530751.7405,180815.6968,at,buildings,roads tracks and paths,35.64312223,343.443144
530762.7808,180781.7852,530751.7405,180815.6968,at,buildings,roads tracks and paths,35.64312223,343.443144
530694.7945,180925.9386,530707.6395,180892.6101,through,roads tracks and paths,roads tracks and paths,35.69462505,160.3959452
533546.8659,181391.6773,533568.5051,181363.0009,on,buildings,roads tracks and paths,35.87806295,144.468605
530302.9141,180136.1647,530286.185,180168.0682,in,buildings,buildings,35.99178504,333.7987865
530051.5089,181126.4952,530033.6289,181095.1992,next to,buildings,buildings,36.00578259,211.2058128
530348.9235,180852.4518,530322.8606,180877.5803,in,buildings,roads tracks and paths,36.1426102,315.4246165
530340.1765,180712.9183,530376.5639,180707.8146,behind,buildings,buildings,36.6367707,99.45260973
530583.1543,180868.9925,530553.5788,180847.2087,outside,roads tracks and paths,buildings,36.65344462,235.0976799
532578.4467,181519.2344,532544.2612,181532.7855,beyond,buildings,buildings,36.67940528,293.1201789
530385.4451,180870.3157,530366.3645,180901.8038,in,roads tracks and paths,buildings,36.77967676,330.2551288
530265.045,180241.2762,530227.9183,180241.6791,on,structure,roads tracks and paths,37.01748769,272.0897803
530257.4521,180291.5376,530268.624,180327.2467,on,buildings,roads tracks and paths,37.39182163,18.84125589
530078.2473,180152.2178,530115.2521,180143.7809,on,buildings,roads tracks and paths,37.8467655,104.3092299
530503.5863,181090.0832,530468.2422,181105.479,at,land,roads tracks and paths,38.45381471,295.0085548
530352.7623,180722.8858,530346.6548,180761.0787,close to,roads tracks and paths,roads tracks and paths,38.66147141,352.3851682
532089.9092,181437.4585,532085.5547,181398.9667,near,buildings,roads tracks and paths,38.71966499,187.943259
530385.3984,180764.4013,530346.6548,180761.0787,in,buildings,roads tracks and paths,38.76954141,266.5692985
532413.4851,181440.6468,532374.1175,181441.0295,on,structure,roads tracks and paths,39.25162941,272.0518065
530076.6239,180152.2886,530115.2521,180143.7809,along,buildings,roads tracks and paths,39.4407194,103.8868144
530115.2521,180143.7809,530076.6239,180152.2886,towards,roads tracks and paths,buildings,39.4407194,283.8872473
530282.6719,180376.9395,530285.4699,180416.4775,outside,general surface,buildings,39.62127855,5.517240257
530314.4565,180959.2294,530309.7712,180919.6913,towards,roads tracks and paths,buildings,39.79747548,188.2297294
533340.9394,181170.1634,533339.2864,181130.2938,on,roads tracks and paths,roads tracks and paths,39.8865008,183.8788327
530197.7624,180498.6528,530233.3505,180480.2921,near,structure,buildings,39.94934228,118.7566122
530197.7624,180498.6528,530233.3505,180480.2921,behind,structure,buildings,39.94934228,118.7566122
530091.3196,181059.7081,530064.1683,181089.6153,towards,roads tracks and paths,roads tracks and paths,40.33330806,319.2324119
530381.7646,180740.4277,530346.6548,180761.0787,on,roads tracks and paths,roads tracks and paths,40.64118686,301.9326327
530030.0317,180943.3045,530029.0609,180902.4886,close to,buildings,buildings,40.81136841,182.8288782
530848.4645,181212.1871,530814.6269,181235.2389,on,buildings,roads tracks and paths,40.85787637,305.7411336
530256.4686,180366.4614,530268.624,180327.2467,on,structure,roads tracks and paths,41.03014006,164.2460683
530509.4545,180520.66,530549.7465,180511.4336,next to,structure,structure,41.21769126,104.3695407
532366.2181,182091.6502,532327.8989,182075.7757,outside,general surface,land,41.36673487,248.9924571
530347.4761,180232.5959,530307.6261,180244.2975,behind,general surface,buildings,41.41730661,287.8319848
